ITEMSHOP_TITLE	Itemshop
ITEMSHOP_EXPIRED	Expired
ITEMSHOP_PURCHASE	Purchase
ITEMSHOP_DRAGONCOINS	Dragon Coins
ITEMSHOP_VOTECOINS	Vote Coins
ITEMSHOP_LIMITED_ITEM	Limited time:
ITEMSHOP_BUYING	You are purchasing the item:
ITEMSHOP_SELECTED	Selected
ITEMSHOP_SELECT	Select
ITEMSHOP_BALANCE	Your Account Balance
ITEMSHOP_CHANGE_CURRENCY	Use "Select" button to change currency.
ITEMSHOP_SEARCH	Search..
ITEMSHOP_PURCHASE_COINS	Purchase Coins
ITEMSHOP_LIMITED_COUNT	Limited count:
ITEMSHOP_CATEGORY_1	Hot Items
ITEMSHOP_CATEGORY_3	Some name from locale_game
